player,n_shots,goals_scored,expected_goals,difference,xG_per_shot_ratio
tom huddlestone,108,2.0,3.8016648011720853,1.8016648011720813,0.035200600010852644
gokhan inler,185,9.0,7.3333418714914345,-1.6666581285085642,0.03963968579184559
florent balmont,168,5.0,7.12241697496036,2.1224169749603723,0.042395339136668805
ivan radovanovic,161,2.0,7.569230278829252,5.5692302788292585,0.04701385266353573
saphir taider,102,4.0,4.932112758952293,0.9321127589522907,0.04835404665639503
ruben rochina,179,12.0,8.72752184602501,-3.272478153975,0.04875710528505592
daniel baier,177,5.0,8.670069844066695,3.670069844066707,0.04898344544670449
michael pereira,101,3.0,4.961314774546931,1.9613147745469277,0.049121928460860706
marco estrada,106,6.0,5.324807396717507,-0.675192603282494,0.05023403204450478
gregory sertic,148,5.0,7.485723506928349,2.4857235069283568,0.05057921288465101
marcel schmelzer,135,2.0,6.883636472417881,4.8836364724178765,0.05098989979568801
milan badelj,102,6.0,5.217672929182876,-0.7823270708171217,0.051153656168459564
paul lasne,121,8.0,6.198489954351677,-1.8015100456483268,0.05122718970538576
ruben pardo,102,5.0,5.3195004885237305,0.31950048852372803,0.05215196557376206
bebe,146,5.0,7.64356868279424,2.6435686827942515,0.05235321015612493
suso,160,14.0,8.40500184091921,-5.594998159080797,0.05253126150574507
fabien lemoine,116,5.0,6.166674953404385,1.1666749534043865,0.05316099097762401
johannes geis,189,8.0,10.109328328865558,2.1093283288655567,0.053488509676537344
tino costa,147,8.0,8.027179209601512,0.02717920960149626,0.0546066612898062
perparim hetemaj,139,1.0,7.626187932474031,6.626187932474031,0.05486466138470526
marcel risse,158,12.0,8.710838121990392,-3.2891618780096037,0.055131886848040455
lossemy karaboue,105,2.0,5.806428218401088,3.806428218401092,0.055299316365724646
riccardo montolivo,195,11.0,10.799163272372645,-0.20083672762737068,0.055380324473705875
granit xhaka,158,7.0,8.882075714714844,1.8820757147148408,0.0562156690804737
luca cigarini,187,7.0,10.74796752677334,3.7479675267733445,0.05747576217525851
bakary sako,136,6.0,7.904306601192008,1.9043066011920018,0.058119901479353
idrissa gueye,120,4.0,7.057758094127622,3.057758094127629,0.05881465078439685
alfred duncan,104,2.0,6.126429023239099,4.126429023239096,0.058907971377299036
andros townsend,117,8.0,6.900838546045786,-1.099161453954213,0.05898152603457937
sebastian rudy,104,8.0,6.1533648075778675,-1.846635192422129,0.05916696930363334
recio,110,5.0,6.522439300505777,1.522439300505786,0.0592949027318707
pape diop,134,8.0,7.9553112874559035,-0.04468871254409021,0.059367994682506746
chris brunt,113,8.0,6.7193542601222855,-1.2806457398777162,0.059463312036480406
matias vecino,137,4.0,8.238430181235264,4.238430181235272,0.0601345268703304
fredy guarin,312,15.0,18.803510779615536,3.8035107796155345,0.060267662755177996
ander,158,7.0,9.574583272862611,2.574583272862616,0.06059862830925703
dani alves,140,5.0,8.509611660429446,3.509611660429449,0.0607829404316389
michael krohndehli,154,3.0,9.384587009699992,6.384587009699989,0.06093887668636358
jonjo shelvey,187,10.0,11.416928852593736,1.4169288525937207,0.061053095468415704
sergio canales,158,9.0,9.802688175328267,0.8026881753282703,0.06204233022359663
adrien regattin,150,8.0,9.341698048543156,1.3416980485431513,0.062277986990287706
lazaros christodoulopoulos,117,5.0,7.423294409149623,2.423294409149634,0.06344696076196259
konstantin rausch,122,8.0,7.764728227236178,-0.23527177276382255,0.06364531333800146
vieirinha,126,4.0,8.048630903793441,4.0486309037934385,0.0638780230459797
gary medel,114,9.0,7.29912397480872,-1.7008760251912667,0.06402740328779578
gabi,150,8.0,9.781901630409005,1.781901630408997,0.06521267753606003
toni kroos,210,15.0,13.702728287260301,-1.2972717127397178,0.0652510870821919
radja nainggolan,396,22.0,25.91336893146314,3.913368931463119,0.06543780033197763
antoine devaux,104,6.0,6.883989625652581,0.8839896256525777,0.06619220793896713
luka modric,129,8.0,8.583158669807533,0.5831586698075384,0.06653611371943824
manu trigueros,125,7.0,8.369612217073424,1.3696122170734264,0.06695689773658739
mauro zarate,140,12.0,9.376991745516415,-2.623008254483585,0.0669785124679744
yann jouffre,243,17.0,16.289336721675564,-0.7106632783244353,0.06703430749660726
markus feulner,137,9.0,9.189010331349719,0.189010331349718,0.06707306811204175
johan cavalli,108,7.0,7.26124771579435,0.26124771579434575,0.06723377514624398
alessandro diamanti,386,21.0,25.969401184515352,4.969401184515225,0.06727824141066154
dusan basta,148,9.0,10.046783084666263,1.0467830846662627,0.06788366949098826
nathan redmond,159,9.0,10.869577059113885,1.8695770591138885,0.06836211986864078
panagiotis tachtsidis,112,9.0,7.656951750734473,-1.3430482492655307,0.0683656406315578
jasmin kurtic,207,9.0,14.198861570268047,5.198861570268046,0.06859353415588429
yannis salibur,120,12.0,8.250579074138928,-3.7494209258610782,0.0687548256178244
juan vargas,135,7.0,9.300795976447045,2.3007959764470405,0.06889478501071886
piotr zielinski,115,6.0,7.9594028413147475,1.9594028413147464,0.06921219862012824
jose antonio reyes,112,5.0,7.767890001521083,2.7678900015210766,0.06935616072786681
carlos sanchez,124,4.0,8.603782449705303,4.603782449705306,0.06938534233633309
sergio almiron,121,9.0,8.470117610816697,-0.5298823891832951,0.07000097199022064
roberto trashorras,214,6.0,15.005264537573744,9.00526453757373,0.0701180585867932
edgar barreto,131,5.0,9.22323645242235,4.22323645242236,0.07040638513299503
juanfran,155,7.0,10.94680089757096,3.9468008975709488,0.07062452191981264
jaroslav plasil,166,9.0,11.731898036905736,2.731898036905733,0.07067408455967311
alain traore,165,17.0,11.704466955698638,-5.2955330443013455,0.07093616336787054
stewart downing,129,8.0,9.160401902563923,1.1604019025639212,0.07101086746173584
alvaro cejudo,212,11.0,15.061211981615791,4.061211981615794,0.07104345274347071
hernanes,354,28.0,25.299641197472038,-2.700358802528013,0.07146791298720914
joao moutinho,116,7.0,8.32424592669171,1.3242459266917173,0.07176074074734232
manuel pasqual,101,5.0,7.261687274606904,2.2616872746069014,0.07189789380798914
yannick bolasie,199,10.0,14.331303252115804,4.331303252115789,0.07201659925686334
benoit cheyrou,116,8.0,8.354626598645726,0.35462659864572116,0.0720226430917735
ricardo alvarez,165,12.0,11.889102867907162,-0.11089713209282318,0.07205516889640705
valentin eysseric,217,16.0,15.656668756392866,-0.34333124360713846,0.07215054726448325
alexander esswein,188,12.0,13.56503047028043,1.5650304702804325,0.07215441739510867
salif sane,121,10.0,8.80663945273312,-1.1933605472668778,0.0727821442374638
sebastien corchia,133,8.0,9.696713762728521,1.6967137627285251,0.0729076222761543
marcell jansen,119,8.0,8.701326347836197,0.7013263478361935,0.07312038947761511
franck tabanou,217,11.0,15.899566865143779,4.899566865143798,0.07326989338775936
maximilian arnold,148,17.0,10.86295887953543,-6.1370411204645565,0.07339837080767182
carlos carmona,105,12.0,7.712153815228635,-4.287846184771368,0.07344908395455843
andrea cossu,103,3.0,7.570745911983837,4.570745911983841,0.07350238749498872
charlie adam,160,16.0,11.765430005157079,-4.234569994842913,0.07353393753223174
morgan sanson,124,13.0,9.126768552356948,-3.8732314476430525,0.073602972196427
