player,n_shots,goals_scored,expected_goals,difference,xG_per_shot_ratio
lionel messi,914,205.0,147.78530131573564,-57.21469868426361,0.16169070165835409
luis suarez,433,96.0,66.88513582290696,-29.114864177092986,0.15446913584966965
zlatan ibrahimovic,774,153.0,124.53973065280518,-28.460269347194593,0.16090404477106612
gonzalo higuain,552,118.0,89.58212638401476,-28.41787361598492,0.16228646084060644
cristiano ronaldo,1190,198.0,172.51702170236334,-25.4829782976361,0.14497228714484314
robert lewandowski,633,124.0,99.95818579681671,-24.04181420318322,0.15791182590334393
alexandre lacazette,391,88.0,65.47734268519062,-22.522657314809305,0.16746123448897857
antoine griezmann,493,80.0,60.674942016188766,-19.325057983811284,0.12307290469815166
alexis sanchez,445,80.0,60.69041979212606,-19.309580207873942,0.13638296582500237
karim benzema,434,85.0,65.94214209099631,-19.057857909003662,0.15194041956450763
diego costa,410,93.0,75.10434734733238,-17.89565265266761,0.1831813349934936
franck ribery,226,40.0,22.639183280260582,-17.36081671973942,0.10017337734628576
eden hazard,332,62.0,45.046184198903944,-16.95381580109603,0.13568127770754201
mario mandzukic,329,67.0,51.15864480636363,-15.841355193636408,0.1554974006272451
wissam ben yedder,367,69.0,54.07838360881647,-14.921616391183512,0.1473525438932329
fernando llorente,282,56.0,41.342096390618934,-14.657903609381151,0.14660317869013806
marco reus,408,65.0,50.73026176337072,-14.269738236629241,0.12433887687100667
mauro icardi,323,72.0,57.78593678235035,-14.214063217649638,0.1789038290475243
gareth bale,301,50.0,35.786042484852594,-14.213957515147492,0.11889050659419466
alexander meier,291,57.0,43.29172757756042,-13.708272422439602,0.14876882329058563
miroslav klose,205,51.0,38.50903799272031,-12.490962007279677,0.18784896581814786
harry kane,353,65.0,52.55696552931346,-12.443034470686522,0.14888658790173784
bas dost,137,36.0,23.906053187226934,-12.093946812773082,0.17449673859289733
mario gotze,203,37.0,24.994029235420193,-12.00597076457979,0.12312329672620785
carlos tevez,239,39.0,27.548329400153687,-11.451670599846313,0.1152649765696807
raffael,318,50.0,38.77933400515895,-11.220665994840981,0.12194759121119167
arjen robben,343,50.0,38.82867114738876,-11.171328852611397,0.11320312287868443
olivier giroud,442,71.0,59.86905094516273,-11.130949054837345,0.13545034150489307
cheick diabate,228,47.0,35.99193120875412,-11.008068791245897,0.1578593474068163
carlos bacca,230,57.0,46.001342289274405,-10.998657710725578,0.2000058360403235
mohamed salah,160,29.0,18.5066919546699,-10.493308045330108,0.11566682471668688
salomon kalou,281,56.0,45.52644136206581,-10.473558637934193,0.16201580555895306
valere germain,149,30.0,20.0299648301661,-9.970035169833912,0.1344292941621886
iago falque,154,26.0,16.06266439874618,-9.93733560125381,0.10430301557627389
dimitri payet,456,44.0,34.12348209320842,-9.876517906791538,0.07483219757282548
falcao,381,80.0,70.17849761037061,-9.821502389629345,0.18419553178574963
heungmin son,225,32.0,22.180773383379567,-9.819226616620444,0.09858121503724251
cedric barbosa,111,21.0,11.343856400760016,-9.656143599239984,0.1021969045113515
yaya toure,236,37.0,27.508287209174945,-9.491712790825076,0.11656053902192773
josip drmic,97,24.0,14.547361471106406,-9.452638528893592,0.14997279867120006
claudio pizarro,200,47.0,37.665619812553125,-9.334380187446856,0.18832809906276562
mesut ozil,187,33.0,23.68448985356717,-9.315510146432835,0.12665502595490466
james rodriguez,183,27.0,17.859729527191938,-9.140270472808053,0.09759415042181387
alberto bueno,198,32.0,22.880932125662767,-9.119067874337244,0.11556026326092307
blerim dzemaili,197,24.0,14.977664485296934,-9.0223355147031,0.07602875373247174
antonio cassano,151,29.0,20.08313523030134,-8.916864769698643,0.13300089556490954
gregoire defrel,134,22.0,13.14100944975461,-8.858990550245386,0.09806723469966128
isco,267,33.0,24.228152427338415,-8.771847572661592,0.09074214392261579
pierreemerick aubameyang,580,100.0,91.22966542758404,-8.770334572415784,0.15729252659928283
ivan perisic,307,41.0,32.425257694625955,-8.574742305374098,0.10561973190431907
pedro,267,45.0,36.44337366958534,-8.556626330414685,0.13649203621567543
younes belhanda,148,26.0,17.45511032161232,-8.5448896783877,0.11793993460548866
nabil fekir,151,22.0,13.466438726447947,-8.533561273552044,0.08918171342018508
javier hernandez,112,28.0,19.554661791211846,-8.445338208788165,0.1745951945643915
modibo maiga,108,20.0,11.561715214166213,-8.438284785833778,0.10705291864968716
dries mertens,270,34.0,25.630040744843267,-8.369959255156735,0.09492607683275284
pablo piatti,140,21.0,12.9046940836585,-8.095305916341514,0.09217638631184642
bernardo silva,105,20.0,11.943885920915072,-8.056114079084928,0.11375129448490545
maxwell,53,14.0,6.043775326125312,-7.956224673874688,0.11403349671934551
mario gomez,221,48.0,40.04681324966607,-7.953186750333935,0.18120729977224467
nolito,320,46.0,38.19990660905009,-7.800093390949958,0.11937470815328152
ruben castro,415,69.0,61.339920401007525,-7.660079598992436,0.14780703711086152
andrepierre gignac,409,51.0,43.39147377666001,-7.608526223339973,0.10609162292581908
jacheol koo,120,20.0,12.526796445918315,-7.473203554081688,0.10438997038265262
sergio aguero,416,75.0,67.55552088030956,-7.444479119690424,0.16239307903920566
dario cvitanich,116,30.0,22.7021822040266,-7.297817795973397,0.19570846727609137
jose callejon,319,48.0,40.74184508449713,-7.258154915502896,0.12771738271002234
marco sau,137,28.0,20.810725768409352,-7.189274231590649,0.1519031077986084
daniel didavi,196,27.0,19.82655552203309,-7.173444477966913,0.101155895520577
max kruse,280,40.0,32.90211589796532,-7.097884102034702,0.11750755677844756
domenico berardi,287,40.0,32.91762976677325,-7.082370233226821,0.11469557410025523
dele alli,125,21.0,14.003370401988727,-6.996629598011276,0.11202696321590981
jese,59,14.0,7.014941257136926,-6.985058742863075,0.11889730944299876
stefan kiessling,359,67.0,60.07912333548321,-6.920876664516754,0.16735131848324014
francesc fabregas,140,27.0,20.123383470653774,-6.876616529346221,0.14373845336181268
nicola sansone,245,32.0,25.178835381861454,-6.821164618138549,0.10277075666065899
daniel sturridge,196,31.0,24.20819786142858,-6.791802138571441,0.12351121357871725
ousmane dembele,73,16.0,9.22835740806975,-6.771642591930251,0.12641585490506507
manolo gabbiadini,330,38.0,31.286190795470088,-6.713809204530021,0.09480663877415178
yoann gourcuff,119,16.0,9.324299240703144,-6.675700759296863,0.0783554558042281
shinji kagawa,151,25.0,18.35604076250229,-6.643959237497719,0.12156318385763105
gregory pujol,121,20.0,13.401306489828412,-6.598693510171593,0.11075459908949101
benjamin moukandjo,203,37.0,30.508221319954558,-6.491778680045433,0.15028680453179585
anthony martial,143,24.0,17.659621495777703,-6.3403785042223095,0.1234938566138301
lukas podolski,148,22.0,15.662316565938486,-6.3376834340614945,0.10582646328336814
adam lallana,180,24.0,17.696279077516856,-6.303720922483167,0.09831266154176031
mevlut erdinc,290,44.0,37.73219634516492,-6.2678036548351175,0.13011102187987905
alvaro morata,166,28.0,21.733427651698147,-6.266572348301875,0.13092426296203702
bojan,158,24.0,17.774813896885775,-6.2251861031142335,0.11249882213218845
felipe anderson,165,19.0,12.852658082400012,-6.147341917600008,0.07789489746909098
maximilian arnold,148,17.0,10.86295887953543,-6.1370411204645565,0.07339837080767182
alberto gilardino,235,47.0,40.876696681398606,-6.123303318601408,0.1739433901336111
stevan jovetic,351,41.0,34.9514236312753,-6.048576368724693,0.09957670550220882
son heungmin,102,16.0,10.047432426087806,-5.952567573912191,0.09850423947144908
martin harnik,235,40.0,34.05311530988833,-5.946884690111696,0.14490687365909927
ivica olic,188,31.0,25.166751199381025,-5.833248800618985,0.133865697869048
hatem ben arfa,128,18.0,12.195447707863694,-5.804552292136306,0.09527693521768511
xavi,123,18.0,12.21212027179692,-5.787879728203097,0.09928553066501561
luca rigoni,136,22.0,16.300859037963846,-5.699140962036153,0.1198592576320871
florian thauvin,283,31.0,25.312981609278147,-5.687018390721924,0.08944516469709593
suso,160,14.0,8.40500184091921,-5.594998159080797,0.05253126150574507
mame biram diouf,213,40.0,34.520134051923236,-5.479865948076768,0.1620663570512828
sofiane boufal,83,15.0,9.538122888743862,-5.461877111256141,0.11491714323787786
gonzalo castro,408,39.0,33.57654546090125,-5.423454539098786,0.08229545456103247
romain hamouma,221,26.0,20.58003429949264,-5.41996570050735,0.09312232714702552
casimir ninga,53,11.0,5.629112386481137,-5.370887613518862,0.10620966766945542
stefan aigner,157,24.0,18.64631263819008,-5.35368736180992,0.11876632253624254
iago aspas,238,39.0,33.65313145307028,-5.3468685469297474,0.14139971198769025
yoan gouffran,185,29.0,23.686476044430506,-5.3135239555694875,0.1280350056455703
patrick herrmann,179,31.0,25.693591760377974,-5.306408239622025,0.14353961877306132
alain traore,165,17.0,11.704466955698638,-5.2955330443013455,0.07093616336787054
duvan zapata,136,24.0,18.717005324213673,-5.282994675786325,0.13762503914862995
divock origi,118,23.0,17.7715564397406,-5.228443560259396,0.15060641050627627
julian schieber,92,15.0,9.821942040638307,-5.1780579593616896,0.10676023957215551
jonas,245,33.0,27.865117060628144,-5.134882939371858,0.11373517167603324
wayne rooney,260,36.0,30.87249017708771,-5.127509822912287,0.11874034683495273
eden ben basat,109,20.0,14.881931479131865,-5.1180685208681345,0.13653148145992536
seamus coleman,84,15.0,9.905616011688421,-5.094383988311579,0.11792400013914787
oscar wendt,60,10.0,4.911527761227021,-5.088472238772979,0.08185879602045036
jamie vardy,184,34.0,28.92200129018457,-5.077998709815438,0.1571847896205683
