short_name,player_positions,overall,potential,wage_eur,age,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,value_eur
L. Messi,"RW, ST, CF",93,93,320000,34,2023,Argentina,Left,4,4,144300000,85,92,91,95,34,65,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,20,35,24,6,11,15,14,8,0,78000000
R. Lewandowski,ST,92,92,270000,32,2023,Poland,Right,4,4,197200000,78,92,79,86,44,82,71,95,90,85,89,85,79,85,70,88,77,79,77,93,82,90,85,76,86,87,81,49,95,81,90,88,35,42,19,15,6,12,8,10,0,119500000
Cristiano Ronaldo,"ST, LW",91,91,270000,36,2023,Portugal,Right,4,5,83300000,87,94,80,88,34,75,87,95,90,80,86,88,81,84,77,88,85,88,86,94,74,94,95,77,77,93,63,29,95,76,88,95,24,32,24,7,11,15,14,11,0,45000000
Neymar Jr,"LW, CAM",91,91,270000,29,2025,Brazil,Right,5,5,238700000,91,83,86,94,37,63,85,83,63,86,86,95,88,87,81,95,93,89,96,89,84,80,64,81,53,81,63,37,86,90,93,93,35,32,29,9,9,15,15,11,0,129000000
K. De Bruyne,"CM, CAM",91,91,350000,30,2025,Belgium,Right,5,4,232200000,76,86,93,88,64,78,94,82,55,94,82,88,85,83,93,91,76,76,79,91,78,91,63,89,74,91,76,66,88,94,83,89,68,65,53,15,13,5,10,13,0,125500000
J. Oblak,GK,91,93,130000,28,2023,Slovenia,Right,3,1,238000000,50,50,50,50,50,50,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,90,50,112000000
K. Mbappé,"ST, LW",91,95,230000,22,2022,France,Right,4,5,373500000,97,88,80,92,36,77,78,93,72,85,83,93,80,69,71,91,97,97,92,93,83,86,78,88,77,82,62,38,92,82,79,88,26,34,32,13,5,7,11,6,0,194000000
M. Neuer,GK,90,90,86000,35,2023,Germany,Right,4,1,22300000,50,50,50,50,50,50,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,88,88,91,89,88,56,13500000
M. ter Stegen,GK,90,92,250000,29,2025,Germany,Right,4,1,210400000,50,50,50,50,50,50,18,14,11,61,14,21,18,12,63,30,38,50,39,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90,43,99000000
H. Kane,ST,90,90,240000,27,2024,England,Right,5,3,246100000,70,91,83,83,47,83,80,94,86,85,88,83,83,65,86,85,65,74,71,92,70,91,79,83,85,86,80,44,94,87,91,91,50,36,38,8,10,11,14,11,0,129500000
N. Kanté,"CDM, CM",90,90,230000,30,2023,France,Right,3,2,185000000,78,66,75,82,87,83,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86,15,12,10,7,10,0,100000000
K. Benzema,"CF, ST",89,89,350000,33,2023,France,Right,4,4,135300000,76,86,81,87,39,77,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90,43,24,18,13,11,5,5,7,0,66000000
T. Courtois,GK,89,91,250000,29,2026,Belgium,Left,3,1,181700000,50,50,50,50,50,50,14,14,13,33,12,13,19,20,35,23,42,52,62,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,74,86,88,46,85500000
H. Son,"LM, CF, LW",89,89,220000,28,2025,Korea Republic,Right,5,4,197600000,88,87,82,86,43,69,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,11,13,13,6,10,0,104000000
Casemiro,CDM,89,89,310000,29,2025,Brazil,Right,3,2,180400000,65,73,76,73,86,90,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87,13,14,16,12,12,0,88000000
V. van Dijk,CB,89,89,230000,29,2025,Netherlands,Right,3,2,159100000,78,60,71,72,91,84,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86,13,10,13,11,11,0,86000000
S. Mané,LW,89,89,270000,29,2023,Senegal,Right,4,4,186900000,91,83,80,89,44,77,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38,10,10,15,7,14,0,101000000
M. Salah,RW,89,89,270000,29,2023,Egypt,Left,3,4,186900000,90,87,81,90,45,75,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14,0,101000000
Ederson,GK,89,91,200000,27,2026,Brazil,Left,3,1,181000000,50,50,50,50,50,50,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,64,94000000
J. Kimmich,"CDM, RB",89,90,160000,26,2025,Germany,Right,4,3,186300000,70,73,86,84,83,79,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,85,79,8,15,7,15,15,0,108000000
Alisson,GK,89,90,190000,28,2027,Brazil,Right,3,1,157900000,50,50,50,50,50,50,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,65,15,19,16,86,86,84,90,89,52,82000000
G. Donnarumma,GK,89,93,110000,22,2026,Italy,Right,3,1,230000000,50,50,50,50,50,50,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,68,20,14,16,91,83,79,85,90,52,119500000
Sergio Ramos,CB,88,88,115000,35,2023,Spain,Right,3,3,44400000,70,70,76,74,88,84,66,65,92,82,69,65,74,76,83,83,71,69,77,92,66,79,93,78,84,64,90,87,73,71,92,88,84,89,91,11,8,9,7,11,0,24000000
L. Suárez,ST,88,88,135000,34,2022,Uruguay,Right,4,3,91200000,72,90,82,84,47,83,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87,42,45,38,27,25,31,33,37,0,44500000
T. Kroos,CM,88,88,310000,31,2023,Germany,Right,5,3,153800000,53,81,91,81,71,68,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,71,73,60,10,11,13,7,10,0,75000000
R. Lukaku,ST,88,88,260000,28,2026,Belgium,Left,4,3,173000000,84,87,74,78,39,83,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,30,41,30,8,15,14,7,10,0,93500000
K. Navas,GK,88,88,130000,34,2024,Costa Rica,Right,3,1,28700000,50,50,50,50,50,50,11,15,11,40,11,24,21,15,37,30,54,53,60,85,61,56,74,39,75,13,32,22,16,68,25,67,28,14,14,89,84,75,87,89,54,15500000
R. Sterling,"LW, RW",88,89,290000,26,2023,England,Right,3,4,206900000,91,82,79,87,45,66,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,15,12,12,15,9,0,107500000
Bruno Fernandes,CAM,88,89,250000,26,2025,Portugal,Right,3,4,206900000,75,86,89,84,70,77,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14,0,107500000
E. Haaland,ST,88,93,110000,20,2024,Norway,Left,3,3,244100000,89,91,65,80,45,88,47,94,69,77,88,78,77,62,51,85,82,94,75,88,72,94,74,82,93,87,85,43,89,71,76,84,44,43,30,7,14,13,11,7,0,137500000
S. Agüero,ST,87,87,260000,33,2023,Argentina,Right,4,4,104600000,71,89,75,87,33,69,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,30,29,24,13,15,6,11,14,0,51000000
H. Lloris,GK,87,87,125000,34,2022,France,Left,1,1,25700000,50,50,50,50,50,50,13,10,10,50,11,10,11,10,50,34,61,62,55,85,54,49,74,41,43,14,31,27,10,50,40,65,29,10,18,88,83,65,84,90,61,13500000
L. Modrić,CM,87,87,190000,35,2022,Croatia,Right,4,4,65600000,73,76,89,88,72,66,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,71,13,9,7,14,9,0,32000000
Á. Di María,"RW, LW",87,87,160000,33,2022,Argentina,Left,2,5,91600000,83,81,86,87,48,69,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52,10,7,11,12,11,0,49500000
W. Szczęsny,GK,87,87,105000,31,2024,Poland,Right,3,1,69300000,50,50,50,50,50,50,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,82,73,87,88,49,42000000
T. Müller,"CAM, RM, RW",87,87,140000,31,2023,Germany,Right,4,3,108900000,67,84,83,80,56,71,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46,6,7,11,14,14,0,66000000
C. Immobile,ST,87,87,125000,31,2025,Italy,Right,4,3,114800000,86,87,67,81,39,77,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79,34,33,32,6,8,15,12,6,0,67500000
P. Pogba,"CM, LM",87,87,220000,28,2022,France,Right,4,5,147100000,71,81,86,86,65,83,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63,5,6,2,4,3,0,79500000
M. Verratti,"CM, CAM",87,87,155000,28,2024,Italy,Right,4,4,147100000,64,61,87,91,79,67,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,78,82,84,12,12,15,15,10,0,79500000
Marquinhos,"CB, CDM",87,90,135000,27,2024,Brazil,Right,3,3,174200000,81,53,75,74,89,81,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,89,6,6,12,10,13,0,90500000
L. Goretzka,"CM, CDM",87,88,140000,26,2026,Germany,Right,4,3,160400000,81,82,82,84,81,86,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77,13,8,15,11,9,0,93000000
P. Dybala,"CF, CAM",87,88,160000,27,2022,Argentina,Left,3,4,160400000,84,86,86,90,40,60,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,0,93000000
A. Robertson,LB,87,88,175000,27,2026,Scotland,Left,2,3,160700000,84,61,81,81,82,76,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,83,84,81,11,8,10,7,14,0,83500000
F. de Jong,"CM, CDM, CB",87,92,210000,24,2026,Netherlands,Right,3,4,253900000,81,69,85,88,77,78,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,7,13,10,10,9,0,119500000
T. Alexander-Arnold,RB,87,92,150000,22,2025,England,Right,4,3,219500000,79,68,88,80,80,72,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79,14,15,14,6,7,0,114000000
J. Sancho,"RM, CF, LM",87,91,150000,21,2026,England,Right,3,5,224300000,81,76,82,91,36,65,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,32,39,32,7,11,10,11,13,0,116500000
Rúben Dias,CB,87,91,170000,24,2027,Portugal,Right,4,2,197300000,61,38,65,68,88,88,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,0,102500000
G. Chiellini,CB,86,86,88000,36,2023,Italy,Left,3,2,19800000,68,46,60,59,89,85,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,93,89,88,3,3,2,4,3,0,12000000
S. Handanovič,GK,86,86,78000,36,2022,Slovenia,Right,3,1,12800000,50,50,50,50,50,50,12,10,10,42,12,18,20,14,40,21,45,50,47,79,36,49,78,41,69,19,25,22,12,41,23,69,25,10,13,81,81,65,92,87,47,7500000
M. Hummels,CB,86,86,95000,32,2022,Germany,Right,3,3,74800000,56,59,77,73,89,77,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89,90,90,86,15,6,10,5,6,0,44000000
Jordi Alba,"LB, LM",86,86,200000,32,2024,Spain,Left,3,3,96400000,86,69,81,83,77,71,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80,13,15,13,6,13,0,47000000
Thiago,"CM, CDM",86,86,180000,30,2024,Spain,Right,3,5,120300000,63,72,86,90,70,66,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13,0,65000000
Sergio Busquets,"CDM, CM",86,86,200000,32,2023,Spain,Right,3,3,92300000,42,62,79,80,82,75,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81,5,8,13,9,13,0,45000000
Parejo,CM,86,86,64000,32,2024,Spain,Right,4,3,112400000,50,83,90,81,71,69,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69,5,9,12,14,8,0,53500000
K. Casteels,GK,86,87,88000,29,2024,Belgium,Left,2,1,92300000,50,50,50,50,50,50,15,15,14,35,13,14,20,13,37,23,44,46,50,83,43,60,58,44,72,18,33,16,15,42,20,40,11,19,17,85,83,80,84,87,45,52000000
L. Insigne,"LW, CF",86,86,125000,30,2022,Italy,Right,4,4,111400000,87,78,85,90,36,45,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,53,24,22,8,4,14,9,10,0,65500000
K. Koulibaly,CB,86,86,105000,30,2023,Senegal,Right,3,2,94400000,81,28,51,65,87,85,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,90,88,86,7,11,7,13,5,0,55500000
R. Varane,CB,86,88,180000,28,2025,France,Right,3,2,131900000,82,49,64,65,87,82,42,46,86,78,42,55,46,52,76,78,79,85,62,84,39,52,81,76,86,53,80,85,55,59,43,83,86,88,87,11,11,9,5,14,0,68500000
R. Mahrez,"RW, RM",86,86,220000,30,2023,Algeria,Left,4,5,121200000,81,79,81,90,38,60,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22,15,9,13,11,6,0,65500000
Gerard Moreno,"ST, RM, RW",86,86,73000,29,2027,Spain,Left,4,3,142800000,79,86,77,84,46,73,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78,44,41,41,15,12,7,12,10,0,68000000
J. Vardy,ST,86,86,180000,34,2023,England,Right,4,3,62700000,85,84,70,80,52,73,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,45,52,54,15,14,7,15,11,0,33000000
Fabinho,"CDM, CB",86,88,165000,27,2026,Brazil,Right,2,3,141500000,67,69,78,78,85,83,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,86,87,85,13,12,6,8,8,0,73500000
João Cancelo,"RB, LB",86,87,185000,27,2025,Portugal,Right,4,4,137600000,85,71,83,84,80,72,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80,6,9,15,14,14,0,71500000
A. Laporte,CB,86,89,185000,27,2024,Spain,Left,3,2,148200000,63,50,72,69,86,80,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,0,77000000
K. Coman,"LM, RM, LW",86,87,120000,25,2023,France,Right,3,4,139700000,93,76,79,88,30,60,79,75,61,80,77,89,83,70,74,88,94,93,91,85,84,80,73,69,64,73,35,23,85,81,70,78,29,27,21,5,3,5,3,5,0,81000000
