player,n_headers,goals_scored,expected_goals,difference
cristiano ronaldo,159,36.0,19.97866148057695,-16.021338519423047
mario mandzukic,124,28.0,14.458361959340863,-13.541638040659137
fernando llorente,141,25.0,15.727759864748528,-9.272240135251465
sloan privat,86,17.0,9.956782581527031,-7.043217418472965
pierreemerick aubameyang,59,14.0,7.339878740938251,-6.660121259061751
anthony modeste,104,17.0,10.829833655439456,-6.170166344560534
zlatan ibrahimovic,91,17.0,10.911162521558232,-6.088837478441759
michail antonio,32,12.0,5.916831775617684,-6.083168224382315
gareth bale,73,14.0,7.938579107217216,-6.061420892782786
olivier giroud,140,20.0,14.039362709980445,-5.960637290019538
daniel sturridge,20,8.0,2.2272219716742643,-5.772778028325735
ignacio camacho,54,13.0,7.362512645309297,-5.6374873546907045
andrepierre gignac,64,11.0,5.601683760115116,-5.3983162398848865
diego costa,64,15.0,9.6263032838074,-5.373696716192596
claudio beauvue,68,13.0,7.8149652510982905,-5.18503474890171
edinson cavani,117,18.0,12.833804346187154,-5.166195653812837
gonzalo rodriguez,43,12.0,6.975078837795829,-5.024921162204171
alberto gilardino,84,15.0,10.070399547956212,-4.929600452043784
klaasjan huntelaar,88,14.0,9.119627877283676,-4.880372122716321
salomon rondon,51,11.0,6.215654874168633,-4.784345125831367
raul garcia,87,15.0,10.256998657997784,-4.743001342002209
victor,41,9.0,4.360398845590211,-4.639601154409788
jordan ayew,39,9.0,4.364326018089565,-4.635673981910436
aritz aduriz,112,18.0,13.452018233122375,-4.547981766877604
paco alcacer,28,8.0,3.465285339564877,-4.534714660435123
mame biram diouf,79,15.0,10.561370236276508,-4.43862976372349
loic remy,43,9.0,4.693531677888728,-4.30646832211127
valere germain,33,8.0,3.717406172580359,-4.2825938274196425
antoine griezmann,78,14.0,9.8063584030314,-4.1936415969685985
harry kane,39,9.0,4.824831460490699,-4.175168539509301
pablo osvaldo,30,8.0,3.8568415023852562,-4.143158497614744
alexander meier,83,12.0,7.861919840265882,-4.138080159734119
bastian schweinsteiger,39,9.0,4.9094097102454395,-4.090590289754561
andre ayew,111,17.0,12.992015531147645,-4.007984468852347
lorenzo tonelli,16,7.0,3.095689198202624,-3.9043108017973776
alexis sanchez,57,10.0,6.125857314231011,-3.874142685768991
imanol agirretxe,100,14.0,10.132990888697831,-3.8670091113021567
leon andreasen,18,6.0,2.1843594069331527,-3.815640593066848
luca rigoni,23,6.0,2.506801068921109,-3.493198931078891
salif sane,43,9.0,5.607962005757657,-3.392037994242341
daniele portanova,16,5.0,1.6744647049875685,-3.3255352950124317
andrea belotti,26,7.0,3.6763419072893306,-3.3236580927106703
tobias werner,27,6.0,2.7277664744306698,-3.2722335255693293
arjen robben,19,5.0,1.784289256975557,-3.2157107430244416
james mcarthur,10,4.0,0.7866591031010245,-3.213340896898975
ruben castro,58,11.0,7.809769177977853,-3.190230822022146
artjoms rudnevs,38,7.0,3.814052095933089,-3.185947904066911
marco borriello,56,9.0,5.832077458667981,-3.1679225413320222
joaquin larrivey,60,11.0,7.835898404314781,-3.16410159568522
jimmy briand,57,9.0,5.845563075602502,-3.154436924397503
guido carrillo,24,6.0,2.8598511772506567,-3.1401488227493433
charlie austin,30,7.0,3.8720455406511722,-3.1279544593488278
seamus coleman,9,4.0,0.8914733519553084,-3.108526648044691
antoine devaux,21,5.0,1.937737358598802,-3.062262641401197
aurelien chedjou,23,6.0,2.938700387824979,-3.061299612175021
dele alli,12,5.0,1.9580332921321117,-3.0419667078678883
jonas,36,7.0,3.9853520407412004,-3.0146479592587987
nolan roux,86,12.0,8.990719617800826,-3.009280382199176
nicola legrottaglie,26,6.0,3.005310892383833,-2.994689107616167
valdo,8,4.0,1.0162117531084789,-2.9837882468915202
paulgeorges ntep,14,5.0,2.022317228962483,-2.977682771037516
gonzalo higuain,40,9.0,6.025059742803313,-2.974940257196689
andy carroll,76,11.0,8.026348362108724,-2.9736516378912796
christian benteke,95,13.0,10.047200428592715,-2.95279957140728
julian schieber,23,5.0,2.057241699262501,-2.9427583007374984
ivan perisic,48,9.0,6.078012229236207,-2.921987770763796
javier hernandez,23,6.0,3.084789655026815,-2.9152103449731843
luis suarez,42,9.0,6.089250034822846,-2.910749965177156
carlos carmona,13,4.0,1.0917823965405669,-2.908217603459433
max kruse,15,4.0,1.1272751792248914,-2.8727248207751077
mikel san jose,37,8.0,5.131206187891033,-2.8687938121089678
ronny rodelin,41,7.0,4.150045274442509,-2.849954725557492
salomon kalou,65,10.0,7.198662513642767,-2.8013374863572382
henri saivet,36,7.0,4.209876065438868,-2.790123934561132
karim benzema,67,12.0,9.249732514587397,-2.7502674854126012
aytac sulu,18,6.0,3.285195553632415,-2.7148044463675842
georginio wijnaldum,12,5.0,2.288567276034538,-2.711432723965462
danny ings,18,5.0,2.303451765056841,-2.696548234943158
zargo toure,10,4.0,1.3080992206373596,-2.69190077936264
mattia destro,48,9.0,6.319819787738448,-2.6801802122615506
per nilsson,20,5.0,2.330418463978167,-2.669581536021833
mevlut erdinc,72,10.0,7.3545470713597085,-2.645452928640292
claudio pizarro,50,10.0,7.359229629503959,-2.640770370496043
sascha molders,44,7.0,4.369288929731399,-2.6307110702686
cedric barbosa,6,3.0,0.3705044012731737,-2.6294955987268263
antonio cassano,12,4.0,1.3769855709724532,-2.6230144290275463
duvan zapata,53,9.0,6.377531655797548,-2.6224683442024523
bojan,5,3.0,0.4179051928227223,-2.5820948071772776
cheick diabate,79,14.0,11.43264524014691,-2.5673547598530786
mario gomez,63,9.0,6.4338937921674315,-2.5661062078325694
jeremy mathieu,17,6.0,3.47946494860894,-2.52053505139106
francesc fabregas,11,4.0,1.4822154859460126,-2.5177845140539876
sandro wagner,52,10.0,7.489619296556119,-2.510380703443884
marco sau,11,4.0,1.499449297393664,-2.5005507026063363
juanito gomez,25,5.0,2.528191384884452,-2.471808615115548
vicente iborra,49,10.0,7.530128293493331,-2.469871706506672
modibo maiga,29,5.0,2.5418758899223213,-2.4581241100776787
hernan perez,13,4.0,1.5523225658977504,-2.447677434102249
gonzalo castro,17,4.0,1.582078886831405,-2.4179211131685947
bakary kone,27,6.0,3.5829056733079083,-2.4170943266920917
