player,n_outside_box_shots,goals_scored,expected_goals,difference
lionel messi,304,16.0,6.9582665663983825,-9.041733433601626
paul pogba,226,14.0,6.868844574227366,-7.131155425772623
gonzalo higuain,127,11.0,4.5130677133218375,-6.486932286678169
james rodriguez,105,9.0,2.635159632010893,-6.364840367989107
yaya toure,128,10.0,3.9643343794075565,-6.035665620592458
zlatan ibrahimovic,261,14.0,8.150820992413403,-5.849179007586586
alexandre lacazette,100,9.0,3.3913856074174182,-5.608614392582592
blerim dzemaili,140,10.0,4.4648509248818415,-5.535149075118158
sergio aguero,90,9.0,3.5759881290139335,-5.424011870986076
julian draxler,94,8.0,3.049859260829567,-4.950140739170438
antoine griezmann,164,10.0,5.126473955326269,-4.873526044673742
giuseppe rossi,63,7.0,2.251946613647657,-4.74805338635234
aritz aduriz,41,6.0,1.878877123441243,-4.121122876558756
floyd ayite,106,8.0,3.9367169917941554,-4.063283008205844
jordan ayew,119,8.0,3.9446311320633565,-4.055368867936649
nicolai muller,46,6.0,1.972356736086313,-4.027643263913688
luka modric,92,7.0,2.9915622489179934,-4.008437751082006
alain traore,86,6.0,1.99653558897109,-4.0034644110289035
dario cvitanich,28,5.0,1.0419166700185576,-3.9580833299814397
carlos tevez,93,7.0,3.1602808808277683,-3.8397191191722397
divock origi,32,5.0,1.2119421967227302,-3.7880578032772685
andrepierre gignac,128,8.0,4.265845007969577,-3.7341549920304313
stevan jovetic,198,10.0,6.378577727463409,-3.6214222725365692
josip ilicic,253,11.0,7.385389280624604,-3.614610719375425
jhon cordoba,14,4.0,0.42528226146830855,-3.5747177385316915
alexander esswein,89,7.0,3.5115080692325105,-3.4884919307674904
djamel bakar,68,6.0,2.513201771672923,-3.4867982283270753
alexander meier,76,6.0,2.5270829331668967,-3.4729170668331015
javier hernandez,17,4.0,0.5341048180194757,-3.4658951819805233
alvaro morata,39,5.0,1.595418110715951,-3.4045818892840485
gokhan inler,176,9.0,5.638388035025051,-3.361611964974948
felipe anderson,86,6.0,2.805595358170953,-3.1944046418290464
bernardo silva,25,4.0,0.8259765754625651,-3.174023424537435
carlos carmona,63,5.0,1.846472363978927,-3.153527636021072
robert lewandowski,106,7.0,3.877719439762451,-3.1222805602375523
younes belhanda,84,6.0,2.90310572497169,-3.096894275028312
philippe coutinho,233,11.0,7.994242415941961,-3.0057575840580086
alexis sanchez,134,8.0,5.059830352019533,-2.9401696479804533
erik lamela,85,5.0,2.1604632302338542,-2.839536769766146
klaasjan huntelaar,65,5.0,2.1801645782650194,-2.81983542173498
sofiane boufal,40,4.0,1.1965455580909075,-2.803454441909092
sulley ali muntari,77,5.0,2.2065865123749147,-2.7934134876250853
jacheoul koo,7,3.0,0.214962724669436,-2.785037275330564
arturo vidal,155,8.0,5.243155316492101,-2.756844683507895
adem ljajic,141,7.0,4.247109707736963,-2.7528902922630403
cristiano ronaldo,480,17.0,14.317773902684957,-2.682226097315063
adam lallana,69,5.0,2.324362870464809,-2.675637129535191
jordan ferri,70,5.0,2.3917339518114464,-2.6082660481885522
florian thauvin,109,6.0,3.393831393931367,-2.6061686060686347
jordan henderson,78,5.0,2.4199582683183687,-2.58004173168163
isco,134,7.0,4.45429092610385,-2.5457090738961474
gueida fofana,45,4.0,1.463783282469638,-2.5362167175303623
andre schurrle,169,8.0,5.467065315885226,-2.5329346841147626
marco sau,31,4.0,1.4907508775919425,-2.5092491224080566
carlos carbonero,16,3.0,0.5005606570344722,-2.499439342965527
lucas barrios,11,3.0,0.5130447711484393,-2.4869552288515604
senad lulic,71,5.0,2.5727641525930713,-2.4272358474069256
jay rodriguez,44,4.0,1.5887051193578583,-2.4112948806421426
angel correa,17,3.0,0.5906432520494909,-2.409356747950509
bakaye traore,19,3.0,0.5932288485733035,-2.406771151426696
gregoire defrel,52,4.0,1.610743578894121,-2.3892564211058787
adriano,47,4.0,1.6592559714641617,-2.340744028535838
mauro icardi,51,5.0,2.6733738183993543,-2.326626181600648
gary hooper,16,3.0,0.6754325626157871,-2.3245674373842116
tana,20,3.0,0.697094631642591,-2.3029053683574077
joe cole,23,3.0,0.6972147620449197,-2.3027852379550797
lorenzo insigne,202,10.0,7.727209451094714,-2.2727905489052613
franco brienza,87,5.0,2.7285806821859233,-2.271419317814078
edinson cavani,118,7.0,4.73103005048354,-2.268969949516462
joselu,65,5.0,2.742187196735283,-2.2578128032647187
jorge molina,13,3.0,0.772862632673994,-2.227137367326005
maximilian philipp,21,3.0,0.7905926183337596,-2.20940738166624
coke,26,3.0,0.7999281993999816,-2.200071800600018
ola toivonen,28,3.0,0.8048881694341063,-2.195111830565893
javi guerra,29,4.0,1.818822501727904,-2.1811774982720964
gaston ramirez,72,4.0,1.8225625796351859,-2.177437420364813
michel bastos,67,4.0,1.8239338642192715,-2.1760661357807285
pierrick capelle,30,3.0,0.8394077585714619,-2.1605922414285383
nicolas de preville,81,5.0,2.8638233362874397,-2.1361766637125617
hernanes,272,10.0,7.869947708160348,-2.1300522918396556
olivier giroud,83,5.0,2.8867438030167687,-2.113256196983231
mario gotze,58,4.0,1.8900404713123107,-2.109959528687689
robin quaison,27,3.0,0.8982245283525204,-2.1017754716474792
hernan perez,30,3.0,0.9039882471277988,-2.0960117528722004
nicola rigoni,28,3.0,0.9052886635248515,-2.0947113364751475
mauro zarate,93,5.0,2.930017421112399,-2.0699825788876023
benjamin corgnet,91,5.0,2.9630039966799724,-2.0369960033200276
pedro morales,27,3.0,0.963006291537552,-2.036993708462446
emanuele calaio,28,3.0,0.982715461797939,-2.0172845382020603
