player2,n_passes,goals_scored_from_passes,xGoals_from_passes,difference,xGoals_per_pass
luis suarez,185,40.0,31.29356418232105,-8.706435817678946,0.16915440098551918
gareth bale,109,21.0,17.826142400802542,-3.1738575991974627,0.16354259083305084
angel di maria,211,43.0,33.28733025622885,-9.712669743771174,0.15775985903425996
lionel messi,350,68.0,53.7792692490492,-14.220730750950827,0.15365505499728344
karim bellarabi,109,18.0,16.436376122599597,-1.5636238774004103,0.15079244149173943
neymar,179,25.0,26.713372224732264,1.7133722247322556,0.1492367163392864
marco verratti,113,21.0,16.769216505578882,-4.230783494421116,0.14840014606706975
henrikh mkhitaryan,148,21.0,21.813536769407005,0.8135367694070015,0.14738876195545272
pierreemerick aubameyang,130,21.0,18.4846866051008,-2.5153133948992155,0.14218989696231385
cesc fabregas,264,53.0,37.50001194473675,-15.499988055263255,0.1420454997906695
patrick herrmann,120,20.0,16.97212944565381,-3.0278705543462,0.14143441204711507
jimmy briand,120,22.0,16.889895446997244,-5.110104553002755,0.14074912872497702
zlatan ibrahimovic,270,36.0,37.593237972526026,1.5932379725260235,0.13923421471305936
javier pastore,185,28.0,25.637049719053138,-2.3629502809468645,0.13857864713001697
cristiano ronaldo,222,45.0,30.468599163216325,-14.531400836783675,0.13724594217665012
nolito,179,18.0,24.52999712088544,6.529997120885425,0.13703909006081252
alvaro negredo,109,9.0,14.916724203415814,5.916724203415803,0.1368506807652827
roberto soldado,101,19.0,13.447024630342659,-5.552975369657348,0.13313885772616493
arjen robben,159,20.0,21.145238474772817,1.145238474772808,0.13298892122498626
alexis sanchez,248,35.0,32.492876008614815,-2.5071239913851815,0.13101966132505974
ruben castro,131,14.0,17.14988247236168,3.1498824723616723,0.1309151333768067
thomas muller,224,38.0,29.249198801392918,-8.750801198607082,0.13057678036336123
andres iniesta,176,33.0,22.831459223711104,-10.168540776288884,0.1297242001347222
goran pandev,110,15.0,14.262789133099398,-0.7372108669006023,0.1296617193918127
pedro,125,25.0,16.154010233617832,-8.845989766382164,0.12923208186894267
robert lewandowski,167,26.0,21.57195417675801,-4.428045823241998,0.12917337830394018
yunus malli,102,11.0,13.119458135533428,2.119458135533421,0.12862213858366106
kevin de bruyne,241,35.0,30.950290946977706,-4.049709053022328,0.12842444376339296
jeremy menez,136,22.0,17.4642132773581,-4.535786722641917,0.12841333292175072
vedad ibisevic,106,20.0,13.565883982949158,-6.434116017050847,0.12798003757499204
olivier giroud,106,16.0,13.508989805179576,-2.491010194820428,0.12744330004886392
diego costa,176,27.0,21.999956023270787,-5.000043976729235,0.12499975013222038
lewis holtby,108,15.0,13.46791384050723,-1.5320861594927686,0.1247029059306225
stefan kiessling,146,16.0,18.054172416323656,2.0541724163236514,0.12365871518029901
kevin volland,131,18.0,16.19925659903891,-1.8007434009610979,0.12365844732090772
nene,102,13.0,12.560140910432652,-0.4398590895673461,0.1231386363767907
franck ribery,191,37.0,23.436226651333115,-13.563773348666869,0.1227027573368226
jesus navas,203,24.0,24.851205033275697,0.8512050332756805,0.1224197292279591
nicolai muller,109,15.0,13.217699195068215,-1.7823008049317828,0.1212632953675983
dani alves,113,14.0,13.537964117836053,-0.46203588216395175,0.11980499219323941
antonio cassano,212,21.0,25.274569144763092,4.274569144763089,0.11921966577718439
adrian,136,13.0,16.10052604203931,3.10052604203931,0.11838622089734786
roberto firmino,259,28.0,30.5815809399613,2.581580939961317,0.11807560208479266
shinji kagawa,148,22.0,17.4484741441266,-4.5515258558734,0.11789509556842297
juan arango,112,18.0,13.090867932759256,-4.909132067240755,0.11688274939963621
max kruse,222,25.0,25.93861373170793,0.9386137317079319,0.11684060239508078
philippe coutinho,177,13.0,20.679299023630083,7.679299023630071,0.11683219787361629
marco reus,206,34.0,24.06296637435369,-9.937033625646311,0.1168105163803577
dusan tadic,102,15.0,11.907935765022486,-3.0920642349775203,0.11674446828453418
arda turan,120,16.0,13.975126608300506,-2.0248733916994883,0.11645938840250422
joan verdu,134,7.0,15.435854905876566,8.435854905876553,0.11519294705878035
sergio garcia,157,20.0,17.880858850054942,-2.1191411499450687,0.1138908207009869
michael krohndehli,116,12.0,13.197544399994424,1.1975443999944266,0.11377193448271056
pablo sarabia,139,14.0,15.768725330765452,1.7687253307654491,0.11344406712780901
gabi,110,11.0,12.417503640269915,1.4175036402699126,0.1128863967297265
romain hamouma,129,16.0,14.529936834220104,-1.4700631657799046,0.11263516925752018
karim benzema,214,40.0,24.063569976964043,-15.936430023035962,0.11244658867740207
anthony mounier,105,10.0,11.788657163639488,1.7886571636394861,0.11227292536799513
victor ibarbo,116,6.0,12.998081576623115,6.998081576623106,0.11205242738468202
mesut ozil,343,35.0,38.36014293080188,3.360142930801872,0.11183715140175475
carlos vela,171,25.0,19.090482062629565,-5.909517937370438,0.11164024598028986
aaron ramsey,112,14.0,12.46896668190871,-1.5310333180912907,0.1113300596598992
lorenzo insigne,195,23.0,21.668970043806105,-1.3310299561939152,0.11112292330156977
ivan rakitic,182,15.0,20.165758308907765,5.1657583089077646,0.11080086982916354
fabian orellana,115,11.0,12.736097362811927,1.7360973628119227,0.11074867272010372
ilkay gundogan,102,12.0,11.287897488637201,-0.7121025113627995,0.1106656616533059
wissam ben yedder,125,13.0,13.81365576654976,0.81365576654975,0.11050924613239807
markel susaeta,130,13.0,14.3082188071655,1.3082188071654999,0.11006322159358077
francesco totti,223,21.0,24.543960044971524,3.543960044971514,0.11006260109852702
carlos bacca,109,13.0,11.993086832065927,-1.0069131679340697,0.11002831956023787
lucas moura,115,12.0,12.61369884288218,0.6136988428821686,0.10968433776419287
wahbi khazri,107,9.0,11.716249820891912,2.7162498208919073,0.1094976618774945
juan mata,134,14.0,14.644638383163802,0.644638383163802,0.10928834614301344
mario mandzukic,103,13.0,11.242890586588834,-1.7571094134111667,0.10915427753969742
james rodriguez,135,17.0,14.729380018532988,-2.270619981467012,0.10910651865579991
gonzalo castro,277,41.0,30.193173025070344,-10.806826974929649,0.10900062463924312
julian draxler,138,14.0,14.86737481470124,0.8673748147012335,0.10773460010653073
luis muriel,143,18.0,15.393039446033663,-2.6069605539663434,0.1076436324897459
fabian johnson,108,16.0,11.606704113898896,-4.393295886101111,0.10746948253610089
david silva,217,25.0,23.275190849701012,-1.724809150299004,0.10725894400783877
hiroshi kiyotake,151,14.0,16.187897815960863,2.18789781596086,0.10720462129775406
gylfi sigurdsson,101,12.0,10.796384722077647,-1.2036152779223501,0.10689489823839254
oscar,153,16.0,16.297111153637765,0.2971111536377594,0.10651706636364552
thiago alcantara,117,18.0,12.451514291186404,-5.548485708813598,0.10642319906996926
nolan roux,110,11.0,11.703120566210316,0.7031205662103162,0.1063920051473665
santiago cazorla,167,16.0,17.733310417699798,1.7333104176997984,0.1061874875311365
iago aspas,134,13.0,14.226414044458858,1.2264140444588498,0.10616726898849894
mohamed salah,133,14.0,14.09048271001083,0.09048271001082381,0.10594347902263782
salomon kalou,119,11.0,12.594418468696967,1.5944184686969676,0.10583544931678124
paulo dybala,112,13.0,11.829902015463585,-1.170097984536414,0.10562412513806772
eder,151,15.0,15.793917587128005,0.7939175871279905,0.10459548070945698
gonzalo higuain,165,23.0,17.150075095558122,-5.849924904441895,0.10393984906398862
antonio di natale,136,7.0,14.13384313639962,7.133843136399612,0.10392531717940896
xavi,134,16.0,13.892417499299334,-2.107582500700667,0.10367475745745772
paul pogba,173,20.0,17.92755374436354,-2.0724462556364602,0.10362747829111872
erik lamela,174,19.0,17.964337186460973,-1.0356628135390344,0.10324331716356881
yaya toure,106,12.0,10.853955512585545,-1.1460444874144593,0.10239580672250514
daniele de rossi,105,10.0,10.727695143248546,0.7276951432485517,0.10216852517379568
zlatko junuzovic,130,19.0,13.186107032174329,-5.81389296782568,0.10143159255518715
jose callejon,174,22.0,17.644459798869235,-4.35554020113077,0.1014049413728117
mauro icardi,105,17.0,10.59283550491937,-6.407164495080632,0.10088414766589876
antoine griezmann,149,15.0,14.963485514329335,-0.036514485670673,0.10042607727737808
koke,177,25.0,17.77098631019425,-7.229013689805755,0.10040105259996751
marek hamsik,370,50.0,37.064656556386154,-12.935343443613847,0.1001747474496923
isco,205,18.0,20.49963145522798,2.4996314552279832,0.09999820222062429
adam lallana,132,15.0,13.192302357935453,-1.8076976420645465,0.09994168452981404
antonio candreva,152,15.0,15.183096053521126,0.18309605352112826,0.09988878982579688
dries mertens,120,13.0,11.986185135108904,-1.0138148648910943,0.09988487612590753
nicola sansone,105,13.0,10.44655251798107,-2.5534474820189295,0.09949097636172448
eden hazard,338,27.0,33.59263936810635,6.592639368106327,0.09938650700623179
wayne rooney,106,18.0,10.525394326886405,-7.474605673113599,0.09929617289515476
toni kroos,167,25.0,16.55485729342226,-8.445142706577743,0.09913088199654048
mario gotze,161,21.0,15.949075493856723,-5.050924506143289,0.09906258070718461
dimitri payet,277,23.0,27.37050703956114,4.370507039561148,0.09881049472765754
aaron hunt,139,9.0,13.711780631046894,4.711780631046896,0.09864590382048125
alexandre lacazette,179,14.0,17.614350203725817,3.6143502037258166,0.09840419108226713
jonathan viera,140,14.0,13.753081397715043,-0.24691860228496593,0.09823629569796459
german denis,134,9.0,13.133103938287134,4.133103938287133,0.09800823834542637
giacomo bonaventura,138,16.0,13.477190221783601,-2.5228097782164003,0.09766079870857683
souleymane camara,107,12.0,10.390587639184572,-1.6094123608154258,0.09710829569331375
steven davis,107,8.0,10.367194466549904,2.367194466549906,0.09688966791168134
